,index,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Uploader,Album ID,Album hrefs,Download URLs
1270,51039,01 - C4116 - 4062-JT_Jeyaraaj_Kri,2,marivEre_dikkevarayya,shaNmukhapriyA,patnam_subhramanya_iyer,JT Jayaraj Krishnan,1,c4116,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4062-JT_Jeyaraaj_Krishnan-Veena-ASS_2015/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4001---4200/4062-JT_Jeyaraaj_Krishnan-Veena-ASS_2015/02-marivEre_dikkevarayya-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4062-JT_Jeyaraaj_Krishnan-Veena-ASS_2015/
1271,51165,01 - C3359 - 3311-Latha_Ramchand,2,pArvati_nAyakanE,shaNmukhapriyA,pApanAsam_sivan,Latha Ramchand,1,c3359,https://www.sangeethamshare.org/tvg/UPLOADS-3201---3400/3311-Latha_Ramchand/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3201---3400/3311-Latha_Ramchand/02-pArvati_nAyakanE-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-3201---3400/3311-Latha_Ramchand/
1273,51338,04 - C0002 - 02_USrinivas_Jamshed,9,rAgam_tAnam_pallavi,shaNmukhapriyA,Own/Others,U Shrinivas,4,c0002,https://www.sangeethamshare.org/ramach/Instrumental/02_USrinivas_Jamshedpur_1992/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ramach/Instrumental/02_USrinivas_Jamshedpur_1992/09-rAgam_tAnam_pallavi-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/ramach/Instrumental/02_USrinivas_Jamshedpur_1992/
1274,51823,01 - C2206 - 2229-Mankkal_Rangara,4,vallee_nAyakA,shaNmukhapriyA,muthaiah_bAgavatar,Manakaal Rangarajan,1,c2206,https://www.sangeethamshare.org/tvg/UPLOADS-2201---2400/2229-Mankkal_Rangarajan/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2201---2400/2229-Mankkal_Rangarajan/04-vallee_nAyakA-shaNmukhapriyA-muthaiah_bAgavatar.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-2201---2400/2229-Mankkal_Rangarajan/
1275,51518,01 - C2982 - 3031-MK_Sankaran_Nam,4,sharavaNabhava_enum,shaNmukhapriyA,pApanAsam_sivan,MK Sankaran Namboothiri,1,c2982,https://www.sangeethamshare.org/tvg/UPLOADS-3001---3200/3031-MK_Sankaran_Namboodiri-Sangeeth_Sammelan_2012/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3001---3200/3031-MK_Sankaran_Namboodiri-Sangeeth_Sammelan_2012/04-sharavaNabhava_enum-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-3001---3200/3031-MK_Sankaran_Namboodiri-Sangeeth_Sammelan_2012/
1276,51795,01 - C4157 - 4103-Emani_Sankara_S,2,vaddanE_vAru_lEru,shaNmukhapriyA,tyAgarAja,Emani Sankara Sastry,1,c4157,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4103-Emani_Sankara_Sastry-Veena-Isaippettagam/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4001---4200/4103-Emani_Sankara_Sastry-Veena-Isaippettagam/02-vaddanE_vAru_lEru-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4103-Emani_Sankara_Sastry-Veena-Isaippettagam/
1278,51836,03 - C0449 - 09-R_sUryaprakAsh-vo,1,vallee_nAyakA,shaNmukhapriyA,muthaiah_bAgavatar,R Suryaprakash,3,c0449,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/280-mini_concerts-5-JayaTV_MMU-2010/09-R_sUryaprakAsh-vocal/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-001-300/280-mini_concerts-5-JayaTV_MMU-2010/09-R_sUryaprakAsh-vocal/01-valiinAyaka_nIvE_gathiyani-shaNmukhapriya-Adhi-muththayya_bhAgavathar.mp3&amp;url=http://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/280-mini_concerts-5-JayaTV_MMU-2010/09-R_sUryaprakAsh-vocal/
1280,51522,01 - C4832 - 4747-Geetha_Raja,3,sharavaNabhava_enum,shaNmukhapriyA,pApanAsam_sivan,Geetha Raja,1,c4832,https://www.sangeethamshare.org/tvg/UPLOADS-4601---4800/4747-Geetha_Raja/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4601---4800/4747-Geetha_Raja/03-sharavaNabhava_enum-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-4601---4800/4747-Geetha_Raja/
1281,51325,03 - C0804 - 452-TV_shankaranArAy,9,rAgam_tAnam_pallavi,shaNmukhapriyA,Own/Others,TV Sankaranarayanan,3,c0804,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/452-TV_shankaranArAyaNan-vocal-Toronto_2/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-301-600/452-TV_shankaranArAyaNan-vocal-Toronto_2/09-rAgam_tAnam_pallavi-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/452-TV_shankaranArAyaNan-vocal-Toronto_2/
1282,51136,10 - C0155 - 151-GNDesikan-Vocal,1,OmkAra_praNava-VARNAM,shaNmukhapriyA,bAlamuraLi_krishNA,GN Desikan,10,c0155,https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/151-GNDesikan-Vocal/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-001-200/151-GNDesikan-Vocal/01-vallabha_nAyakasya_bhaktO-bEgaDA.mp3&amp;url=http://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/151-GNDesikan-Vocal/
1283,51051,01 - C5873 - 5752-JB_Sruthisagar-,4,marivEre_dikkevarayya,shaNmukhapriyA,patnam_subhramanya_iyer,JB Sruthisagar,1,c5873,https://www.sangeethamshare.org/tvg/UPLOADS-5601---5800/5752-JB_Sruthisagar-Flute/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-5601---5800/5752-JB_Sruthisagar-Flute/04-marivEre_dikkevarayya-shaNmukhapriyA.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-5601---5800/5752-JB_Sruthisagar-Flute/
1284,51619,01 - C1617 - 1696-Mambalam_MKS_Si,1,siddhi_vinAyakam_anisham,shaNmukhapriyA,m_dIkshitar,Mambalam MKS Siva,1,c1617,https://www.sangeethamshare.org/tvg/UPLOADS-1601---1800/1696-Mambalam_MKS_Siva-MKS_Santhanam-Nadhaswaram/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1601---1800/1696-Mambalam_MKS_Siva-MKS_Santhanam-Nadhaswaram/01-siddhi_vinayakam_anisham-shanmukhapriya-m.dikshitar.mp3&amp;url=http://www.sangeethamshare.org/tvg/UPLOADS-1601---1800/1696-Mambalam_MKS_Siva-MKS_Santhanam-Nadhaswaram/
1287,51314,03 - C0599 - 340-n_ramaNi-Clevela,12,rAgam_tAnam_pallavi,shaNmukhapriyA,Own/Others,N Ramani,3,c0599,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/340-n_ramaNi-Cleveland_OH-USA-1999/,http://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-301-600/340-n_ramaNi-Cleveland_OH-USA-1999/12-RTP_continued-swara_rAgamAlike_bEgade_shahana_ranjani_hindhOLa.mp3&amp;url=http://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/340-n_ramaNi-Cleveland_OH-USA-1999/
