,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs,Download URLs
13191,02 - C0236 - 250_PattabhiramaPand,1,shrI_jAlandharam,gambhIranATai,jayacAmarAja_wodayAr,Pattabhirama Pandit,https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/250_PattabhiramaPandit_HSS_BGS_30.12.09/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/kasturi/UPLOADS-0201-0400/250_PattabhiramaPandit_HSS_BGS_30.12.09/01-shrI_jAlanDharam_AshrayAmyaham-gambhIra_nAta-thriputa-jayachAmarAja_odeyar.mp3&amp;url=https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/250_PattabhiramaPandit_HSS_BGS_30.12.09/
40943,01 - C2527 - 2533-ML_Vasanthakuma,3,EkAmranAtham_bhajEham,pUrvikalyANi,m_dIkshitar,ML Vasanthakumari,https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2533-ML_Vasanthakumari-National_Programme//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2401---2600/2533-ML_Vasanthakumari-National_Programme/03-EkAmranAtham_bhajEham-pUrvikalyANi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2533-ML_Vasanthakumari-National_Programme/
24558,23 - C0309 - 333_R_K_Srikantan-Ch,6,shri_subrahmaNyAya_namastE,kAmbOji,m_dIkshitar,RK Srikantan,https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/333_R_K_Srikantan-Chennai-2013//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/murthy/Karnatak/UPLOADS-201-400/333_R_K_Srikantan-Chennai-2013/06-shri_subrahmaNyAya_namastE-kAmbOji.mp3&amp;url=https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-201-400/333_R_K_Srikantan-Chennai-2013/
22139,01 - C1737 - 1518-NC_Madhav-Viola,1,kanjadaLAya_tAkSi_kAmAkSi,kamalamanOhari,m_dIkshitar,NC Madhav,https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1518-NC_Madhav-Viola//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1401---1600/1518-NC_Madhav-Viola/01-kanjadaLAya_tAkSi_kAmAkSi-kamalamanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1401---1600/1518-NC_Madhav-Viola/
22148,01 - C3205 - 030-Jayanthi_Kumares,1,kanjadaLAya_tAkSi_kAmAkSi,kamalamanOhari,m_dIkshitar,Jayanthi Kumaresh,https://www.sangeethamshare.org/tvg/SEASON_2013/030-Jayanthi_Kumaresh-Veena//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/SEASON_2013/030-Jayanthi_Kumaresh-Veena/01-kanjadaLAya_tAkSi_kAmAkSi-kamalamanOhari.mp3&amp;url=https://www.sangeethamshare.org/tvg/SEASON_2013/030-Jayanthi_Kumaresh-Veena/
23116,03 - C0620 - 358-KV_nArAyaNaswAmy,4,shiva_shiva_shiva_yanarAdA,kAmavardhini,tyAgarAja,Palghat KV Narayanaswamy,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/358-KV_nArAyaNaswAmy-MSA_TN-Bay_Area-CA-USA-1983//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-301-600/358-KV_nArAyaNaswAmy-MSA_TN-Bay_Area-CA-USA-1983/04-shiva_shiva_shiva_enarAdha-kAmavarDhini-Adhi-thyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/358-KV_nArAyaNaswAmy-MSA_TN-Bay_Area-CA-USA-1983/
13145,10 - C0146 - 142-Dr_M_Balamuralik,4,rAgam_tAnam_pallavi,gambhIranATai,Own/Others,M BalamuraliKrishna,https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/142-Dr_M_Balamuralikrishna-Vocal//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-001-200/142-Dr_M_Balamuralikrishna-Vocal/04-mahanIya_manas-sulivE-sumukhi.mp3&amp;url=https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/142-Dr_M_Balamuralikrishna-Vocal/
12311,01 - C6258 - 6106-Vidya_Kalyanara,2,bhajanasEya_rAdA,dharmavati,mysore_vAsudevAcAr,Vidya Kalyanaraman,https://www.sangeethamshare.org/tvg/UPLOADS-6001---6200/6106-Vidya_Kalyanaraman//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6001---6200/6106-Vidya_Kalyanaraman/02-bhajanasEya_rAdA-dharmavati.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6001---6200/6106-Vidya_Kalyanaraman/
35003,01 - C6417 - 6267-Sriram_Parasura,4,bhuvanEshwariyA,mOhanakalyANi,muthaiah_bAgavatar,Sriram Parasuram,https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6267-Sriram_Parasuram-Violin//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-6201---6400/6267-Sriram_Parasuram-Violin/04-bhuvanEshwariyA-mOhanakalyANi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6267-Sriram_Parasuram-Violin/
7856,01 - c0743 - 244.SUBHA_GANESAN,1,Ekadantam_bhajEham,bilahari,m_dIkshitar,Subha Ganesan,https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/244.SUBHA_GANESAN//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0201---0400/244.SUBHA_GANESAN/01-Ekadantam_bhajEham-bilahari.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/244.SUBHA_GANESAN/
