,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
21948,02 - C0164 - 172_TNS_and_U.Sriniv,6,rAgam_tAnam_pallavi,kalyANi,Own/Others,TN Seshagopalan,http://sangeethamshare.org/kasturi/UPLOADS-0001-0200/172_TNS_and_U.Srinivas_KGS_20Dec2010
20889,46 - C0058 - 063-SSI,2,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Semmangudi Srinivasa Iyer,http://sangeethamshare.org/asokan/CARNATIC/063-SSI
21506,01 - C5184 - 20-Maharajapuram_S_S,3,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Maharajapuram S Srinivasan,http://sangeethamshare.org/tvg/SEASON_2016/20-Maharajapuram_S_Srinivasan
20952,09 - C0119 - NRK-036--AMS-VKR--To,1,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Nedunuri Krishnamurthy,http://sangeethamshare.org/ksj/Nedunri-Krishnamurthy/NRK-036--AMS-VKR--Toronto-
22034,15 - C0312 - 309-Madurai_Mani_Iye,5,rAgam_tAnam_pallavi,kalyANi,Own/Others,Madurai Mani Iyer,http://sangeethamshare.org/muralidaran/Uploads-301-400/309-Madurai_Mani_Iyer-Old_Gramaphone_Concert/
21290,01 - c2259 - 025-TN_Seshagopalan,1,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,TN Seshagopalan,http://sangeethamshare.org/tvg/SEASON_2011/025-TN_Seshagopalan/
21419,01 - C6716 - 6538-Trichur_V_Ramac,3,kumbhEshvarAya_namastE,kalyANi,m_dIkshitar,Trichur V Ramachandran,https://sangeethamshare.org/tvg/UPLOADS-6401---6600/6538-Trichur_V_Ramachandran-AIR_TVM/
22394,03 - C0789 - 13-P_unnikriShNan-vo,2,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,P Unnikrishnan,http://sangeethamshare.org/manjunath/Carnatic/Audio/Season-2012/13-P_unnikriShNan-vocal-JayaTV_MMU/
22184,10 - C0527 - 538-TS_Kalyanaraman-,5,shivakAmEshvarIm_cintayEham,kalyANi,m_dIkshitar,Tanjore S Kalyanaraman,http://sangeethamshare.org/vijayagopal/UPLOADS-401-600/538-TS_Kalyanaraman-Vocal/
22121,01 - c0236 - 1353-Sudha_Raghunath,1,sandEhamu_ElarA_nA_sAmi,kalyANi,tyAgarAja,Sudha Raghunathan,http://sangeethamshare.org/tvg/UPLOADS-1201---1400/1353-Sudha_Raghunathan-Isai_Vizha_2009
22051,22 - C0151 - 084_BMK-and-Party_Li,6,rAgam_tAnam_pallavi,kalyANi,Own/Others,M BalamuraliKrishna,http://sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/084_BMK-and-Party_Live-in-Madras_1964/
21988,03 - C0794 - 442-semmangudi_R_shr,10,rAgam_tAnam_pallavi,kalyANi,Own/Others,Semmangudi Srinivasa Iyer,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/442-semmangudi_R_shrInivAsa_iyer-vocal/
22366,01 - c0947 - 459.LATHA_RAMCHAND,4,unaiyallAl_gati,kalyANi,pApanAsam_sivan,Latha Ramchand,http://sangeethamshare.org/tvg/UPLOADS-0401---0600/459.LATHA_RAMCHAND/
21744,06 - c0347 - 0408-Sri_Voleti_Venk,6,ninnu_vinA_gati_gAna,kalyANi,subbarAya_shAstri,Voleti Venkateswarulu,http://sangeethamshare.org/svasu/UPLOADS-0401-0600/0408-Sri_Voleti_Venkateshwaralu
21798,01 - C1344 - 0887.TRICHUR_V.RAMAC,4,pankaja_locana,kalyANi,swAtitirunAL,Trichur V Ramachandran,http://sangeethamshare.org/tvg/UPLOADS-0801---1000/0887.TRICHUR_V.RAMACHANDRAN/
22127,02 - C0216 - 228_DKPattammal-DKJ-,5,sandEhamu_ElarA_nA_sAmi,kalyANi,tyAgarAja,DK Pattammal,http://sangeethamshare.org/kasturi/UPLOADS-0201-0400/228_DKPattammal-DKJ-Ananthakrishnan-ISivakumar-Boston1975
21428,03 - C0746 - 405-aruNa-sAirAm-voc,4,maadhava_hridi,kalyANi,oothukAdu_venkata_kavi,Aruna Sairam,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/405-aruNa-sAirAm-vocal-Bay_area-CA-USA-2004/
20797,25 - C0017 - 01-MDR_AIR_1,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,MD Ramanathan,http://sangeethamshare.org/gvr/MDR_Concerts/01-MDR_AIR_1
21155,38 - C0024 - 004-MLV-Live-04,21,EtAvunarA_nilakaDa_nIku,kalyANi,tyAgarAja,ML Vasanthakumari,http://sangeethamshare.org/rao_sharath/MLV/004-MLV-Live-04
21569,10 - C0231 - 228-Priya_Sisters-Ch,8,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Priya Sisters,http://sangeethamshare.org/vijayagopal/UPLOADS-201-400/228-Priya_Sisters-Chembur/
21669,10 - C0329 - 326-Seetha_Narayanan,5,nija_dAsa_varada,kalyANi,patnam_subhramanya_iyer,Seetha Narayanan,http://sangeethamshare.org/vijayagopal/UPLOADS-201-400/326-Seetha_Narayanan-Vocal/
21303,01 - C3717 - 3644-Lalitha_Raghava,3,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Lalitha Raghavan,http://sangeethamshare.org/tvg/UPLOADS-3601---3800/3644-Lalitha_Raghavan-Violin/
20585,01 - C0784 - 289.SUDHA_RAGHUNATHA,4,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Sudha Raghunathan,http://sangeethamshare.org/tvg/UPLOADS-0201---0400/289.SUDHA_RAGHUNATHAN-THIRUVAIYYARU/
21545,03 - C0518 - 31-subramaNiam-nAgas,1,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Subramaniam,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/281-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/31-subramaNiam-nAgaswara_5/
21083,02 - C0080 - 089_SN_Raksha_Mathur,4,EtAvunarA_nilakaDa_nIku,kalyANi,tyAgarAja,SN Raksha,http://sangeethamshare.org/kasturi/UPLOADS-0001-0200/089_SN_Raksha_Mathur_S_Ashok
22244,01 - C1589 - 35-Dr_Pantula_Rama,3,sundari_nI_divya_rUpamunu,kalyANi,tyAgarAja,Pantula Rama,http://sangeethamshare.org/tvg/SEASON_2010/35-Dr_Pantula_Rama/
21478,01 - c1349 - 0892.Kunnakudy_R_Vai,4,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Kunnakudi R Vaidyanathan,http://sangeethamshare.org/tvg/UPLOADS-0801---1000/0892.Kunnakudy_R_Vaidyanathan-NP/
20821,01 - C2002 - 1999-Amritha_Murali,1,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Amritha Murali,http://sangeethamshare.org/tvg/UPLOADS-1801---2000/1999-Amritha_Murali/
22185,15 - C0075 - 075-K.J.Yesudas-Live,5,shivakAmEshvarIm_cintayEham,kalyANi,m_dIkshitar,KJ Yesudas,http://sangeethamshare.org/muralidaran/Uploads-001-100/075-K.J.Yesudas-Live-Concert-1982/
22332,03 - C0961 - 607-DK_jayarAman-voc,4,talli_ninnu_nera_namminAnu,kalyANi,syAmA_sAstri,DK Jayaraman,http://sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-601-900/607-DK_jayarAman-vocal_3/
22268,01 - C6404 - 6254-Salem_Gayathri_,2,sundari_nI_divya_rUpamunu,kalyANi,tyAgarAja,Salem Gayathri Venkatesan,http://sangeethamshare.org/tvg/UPLOADS-6201---6400/6254-Salem_Gayathri_Venkatesan/
20812,01 - C0534 - 1320-P_Vasanthkumar-,4,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,P Vasanthakumar,http://sangeethamshare.org/tvg/UPLOADS-1201---1400/1320-P_Vasanthkumar-Veena/
